ID,Drug1_Name,Drug1_CID,Drug1_DBID,Drug2_Name,Drug2_CID,Drug2_DBID,Y_Score,Risk_Label,NegSample,Chem_Sim,Same_Enzyme,SideEffect_Sim,Shared_Targets,ATC_Similarity
21589,Allopurinol,CID295729,DB69730,Cyclosporine,CID156019,DB28346,244,Moderate,No,0.55,0,0.21,7,0.74
21590,Mirtazapine,CID99374,DB29867,Ramipril,CID638192,DB85103,522,High,No,0.53,0,0.14,5,0.63
21591,Valproate,CID843526,DB49630,Adalimumab,CID9176,DB12127,626,High,No,0.18,1,0.03,1,0
21592,Flecainide,CID763324,DB15336,Prednisolone,CID523290,DB34570,478,Moderate,No,0.43,0,0.98,3,0.74
21593,Cefdinir,CID829482,DB11108,Dexamethasone; Neomycin; Polymyxin B,CID296952,DB22981,569,High,No,0.31,0,0.1,0,0.68
21594,Telmisartan,CID390586,DB25007,Liothyronine,CID895826,DB18510,356,Moderate,No,0.66,0,0.04,1,0.7
21595,Ezetimibe,CID681490,DB13575,Rimegepant,CID589458,DB88264,765,High,No,0.71,1,0.41,5,0.74
21596,Amiodarone,CID849776,DB46031,Memantine,CID228958,DB95850,320,Moderate,No,0.32,1,0.44,9,0.96
21597,Omega-3-acid Ethyl Esters,CID115763,DB75404,Spironolactone,CID980286,DB23065,680,High,No,0.84,1,0.95,7,0.45
21598,Ciprofloxacin; Dexamethasone,CID690702,DB99974,Allopurinol,CID874307,DB40576,214,Moderate,No,0.25,1,0.01,5,0.05
21599,Amiodarone,CID871874,DB64274,Ethinyl Estradiol; Norgestimate,CID883472,DB79507,513,High,No,0.43,0,0.24,2,0.31
21600,Amlodipine; Benazepril,CID228910,DB21404,Ciprofloxacin; Dexamethasone,CID700039,DB71189,20,Safe,Yes,0.69,0,0.24,3,0.97
21601,Baclofen,CID167630,DB47599,Omega-3-acid Ethyl Esters,CID65720,DB44298,197,Low,No,0.87,0,0.61,1,0.14
21602,Lactulose,CID956558,DB83648,Lidocaine,CID125611,DB28848,345,Moderate,No,0.01,1,0.65,2,0.43
21603,Amiodarone,CID424249,DB91960,Methotrexate,CID458875,DB14269,386,Moderate,No,0.14,1,0.58,2,0.32
21604,Oxybutynin,CID989397,DB41194,Ketotifen,CID802575,DB66550,209,Moderate,No,0.96,0,0,10,0.29
21605,Ciclopirox,CID529529,DB23079,Mirabegron,CID729110,DB95415,783,High,No,0.21,1,0.26,0,0.18
21606,Lovastatin,CID486644,DB33469,Oxybutynin,CID16623,DB12760,622,High,No,0.16,0,0.92,9,0.01
21607,Duloxetine,CID94985,DB50704,Fluorouracil,CID712848,DB33795,290,Moderate,No,0.81,0,0.4,2,0.79
21608,Valproate,CID796619,DB49713,Cyclobenzaprine,CID386814,DB73055,657,High,No,0.63,0,0.13,10,0.54
21609,Oseltamivir,CID477286,DB63150,Primidone,CID153115,DB21237,676,High,No,0.81,0,0.37,7,0.11
21610,Cetirizine,CID165742,DB28921,Levocetirizine,CID659655,DB78634,473,Moderate,No,0.78,0,0.6,8,0.98
21611,Icosapent Ethyl,CID618166,DB92759,Ethinyl Estradiol; Norgestrel,CID114893,DB52274,218,Moderate,No,0.01,0,0.46,1,0.07
21612,Albuterol; Ipratropium,CID992687,DB84918,Lactulose,CID849683,DB89911,599,High,No,0.66,1,0.1,10,0.93
21613,Acetaminophen,CID636515,DB70584,Baclofen,CID54073,DB67097,233,Moderate,No,0.9,0,0.97,2,0.31
21614,Pantoprazole,CID6286,DB41849,Indomethacin,CID681275,DB64327,17,Safe,Yes,0.2,0,0.17,8,0.06
21615,Folic Acid,CID903064,DB70544,Pramipexole,CID142417,DB35648,19,Safe,Yes,0.21,0,0.16,5,0.95
21616,Clobetasol,CID848380,DB96797,Alendronate,CID682514,DB87877,3,Safe,Yes,0.39,1,0.43,5,0.53
21617,Acetaminophen; Codeine,CID155958,DB15968,Clonidine,CID829706,DB32035,670,High,No,0.7,1,0.41,9,0.19
21618,Mirabegron,CID902391,DB80192,Levetiracetam,CID51411,DB28593,534,High,No,0.51,1,0.8,3,0.93
21619,Alprazolam,CID981090,DB32503,Ethinyl Estradiol; Norelgestromin,CID402275,DB10228,513,High,No,0.36,0,0.9,4,0.9
21620,Escitalopram,CID251742,DB93636,Ketoconazole,CID177445,DB91659,196,Low,No,0.81,1,0.65,6,0.67
21621,Cyclobenzaprine,CID921529,DB79606,Lactulose,CID898077,DB87251,476,Moderate,No,0.8,0,0.2,6,0.15
21622,Prednisolone,CID825807,DB84541,Sodium Salts,CID27766,DB18385,760,High,No,0.47,0,0.5,1,0.33
21623,Insulin Detemir,CID836194,DB73173,Methylprednisolone,CID168355,DB98690,775,High,No,0.2,0,0.6,6,0.33
21624,Methylphenidate,CID530168,DB24261,Oseltamivir,CID585845,DB67732,172,Low,No,0.98,0,0.22,4,0.56
21625,Fenofibrate,CID423431,DB11983,Calcitriol,CID363834,DB88632,104,Low,No,0.77,1,0.23,6,0.27
21626,Paroxetine,CID761772,DB66861,Diazepam,CID558258,DB25073,290,Moderate,No,0.1,1,0.6,10,0.85
21627,Betamethasone,CID810371,DB73974,Warfarin,CID930542,DB66504,593,High,No,0.11,0,0.71,4,0.46
21628,Losartan,CID837996,DB93685,Sildenafil,CID708500,DB43056,166,Low,No,0.97,0,0.81,2,0.89
21629,Solifenacin,CID157221,DB12912,Promethazine,CID794102,DB53871,165,Low,No,0.26,0,0.2,4,0.16
21630,Duloxetine,CID978785,DB16338,Lorazepam,CID576189,DB97636,118,Low,No,0.21,0,0.81,3,0.89
21631,Trazodone,CID218294,DB65833,Acetaminophen; Oxycodone,CID834124,DB32327,23,Safe,Yes,0.93,1,0.2,2,0.24
21632,Levetiracetam,CID291897,DB86272,Spironolactone,CID59203,DB51915,258,Moderate,No,0.85,1,0.92,0,0.12
21633,Mirabegron,CID658540,DB27736,Riboflavin,CID430843,DB55491,285,Moderate,No,0.9,1,0.66,2,0.06
21634,Lithium,CID906591,DB32208,Adalimumab,CID315105,DB72848,406,Moderate,No,0.29,1,0.8,0,0.25
21635,Vitamin E,CID931505,DB24812,Fluticasone; Salmeterol,CID811739,DB42703,783,High,No,0.36,0,0.65,2,0.11
21636,Semaglutide,CID294486,DB27990,Dextroamphetamine,CID836921,DB24460,608,High,No,0.13,0,0.83,1,0.26
21637,Tiotropium,CID75598,DB12690,Lidocaine,CID789938,DB46561,277,Moderate,No,0.19,0,0.69,8,0.19
21638,Nirmatrelvir; Ritonavir,CID7793,DB61019,Acetaminophen; Oxycodone,CID123264,DB91326,142,Low,No,0.74,0,0.36,3,1
21639,Prednisolone,CID823654,DB81140,Diazepam,CID161938,DB65992,368,Moderate,No,0.75,0,0.77,6,0.44
21640,Valsartan,CID46001,DB73396,Sertraline,CID901825,DB52069,302,Moderate,No,0.23,0,0.49,8,0.05
21641,Ticagrelor,CID936420,DB64377,Phenazopyridine,CID635259,DB67263,367,Moderate,No,0.42,1,0.51,1,0.62
21642,Lactulose,CID106196,DB55314,Evolocumab,CID692398,DB77035,47,Safe,Yes,0.58,1,0.57,9,0.46
21643,Finasteride,CID703492,DB60931,Penicillin V,CID523687,DB64310,716,High,No,1,0,0.01,4,0.73
21644,Hydralazine,CID315553,DB89332,Polyethylene Glycol 3350,CID207743,DB74378,91,Low,No,0.84,1,0.51,4,0.3
21645,Ferrous Sulfate,CID992277,DB12874,Levocetirizine,CID309128,DB39450,593,High,No,0.39,0,0.78,3,0.24
21646,Oxcarbazepine,CID683445,DB14361,Venlafaxine,CID863175,DB97778,473,Moderate,No,0.47,1,0.95,8,0.81
21647,Hydrochlorothiazide; Lisinopril,CID673912,DB41455,Fluticasone,CID625601,DB30633,749,High,No,0.21,0,0.24,4,0.87
21648,Esomeprazole,CID53142,DB31814,Nitroglycerin,CID194881,DB10500,606,High,No,0.54,1,0.13,1,0.99
21649,Metronidazole,CID533577,DB62183,Clobetasol,CID245499,DB81314,405,Moderate,No,0.34,1,0.06,6,0.27
21650,Olopatadine,CID435577,DB18506,Amlodipine,CID193976,DB55491,546,High,No,0.49,0,0.85,0,0.94
21651,Emtricitabine; Tenofovir,CID284862,DB34379,Ergocalciferol,CID985212,DB71415,205,Moderate,No,0.87,1,0.8,6,0.41
21652,Loperamide,CID871113,DB74716,Cyanocobalamin,CID758244,DB94600,669,High,No,0.76,0,0.98,10,0.86
21653,Memantine,CID802605,DB74113,Dexamethasone; Neomycin; Polymyxin B,CID490849,DB20863,230,Moderate,No,0.25,0,0.75,10,0.13
21654,Furosemide,CID683594,DB44896,Acyclovir,CID755133,DB58793,449,Moderate,No,0.75,1,0.86,8,0.27
21655,Polyethylene Glycol 3350 With Electrolytes,CID819975,DB44371,Ropinirole,CID443589,DB37434,347,Moderate,No,0.13,0,0.48,1,0.9
21656,Amlodipine; Benazepril,CID574322,DB87675,Benzonatate,CID596563,DB19114,180,Low,No,0.36,1,0.17,7,0.38
21657,Ferrous Sulfate,CID386676,DB14816,Carbamazepine,CID763945,DB25871,658,High,No,0.05,0,0.89,7,0.55
21658,Simvastatin,CID561830,DB53041,Rivaroxaban,CID468541,DB21439,639,High,No,0.39,0,0.26,6,0.04
21659,Loperamide,CID936868,DB48637,Acetaminophen,CID968492,DB85525,274,Moderate,No,0.68,1,0.89,10,0.74
21660,Erythromycin,CID552155,DB90188,Fluconazole,CID160407,DB23614,182,Low,No,0.97,1,0.12,9,0.72
21661,Labetalol,CID51862,DB35349,Torsemide,CID818485,DB47576,11,Safe,Yes,0.47,1,0.33,0,0.27
21662,Fenofibrate,CID55811,DB31490,Sitagliptin,CID593068,DB56355,7,Safe,Yes,0.15,0,0.27,10,0.4
21663,Dexamethasone; Neomycin; Polymyxin B,CID102454,DB43684,Mesalamine,CID10501,DB63509,350,Moderate,No,0.98,0,0.53,6,0.51
21664,Azithromycin,CID856090,DB98938,Chlorhexidine,CID371891,DB39201,78,Low,No,0.87,1,0.17,6,0.07
21665,Hydrochlorothiazide,CID242026,DB20935,Valacyclovir,CID988957,DB48711,592,High,No,0.31,1,0.75,8,0.27
21666,Hydroxyzine,CID39895,DB41117,Ciclopirox,CID448066,DB61659,612,High,No,0.01,0,0.6,3,0.44
21667,Sildenafil,CID978633,DB92311,Solifenacin,CID487913,DB81073,421,Moderate,No,0.3,1,0.56,0,0.44
21668,Tamsulosin,CID818059,DB58929,Spironolactone,CID19245,DB67490,350,Moderate,No,0.67,0,0.74,4,0.51
21669,Polyethylene Glycol 3350,CID943936,DB47466,Atomoxetine,CID513937,DB93546,528,High,No,0.8,1,0.58,1,0.25
21670,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID230172,DB91052,Loratadine,CID243199,DB80828,80,Low,No,0.59,1,0.69,7,0.08
21671,Melatonin,CID791056,DB67521,Ipratropium,CID713486,DB90386,74,Low,No,0.57,0,0.85,9,0.68
21672,Brompheniramine; Dextromethorphan; Pseudoephedrine,CID215327,DB34938,Adalimumab,CID71973,DB69559,137,Low,No,0.67,1,0.64,4,0.47
21673,Telmisartan,CID189947,DB35343,Sulfamethoxazole; Trimethoprim,CID34818,DB54145,305,Moderate,No,0.43,1,0.06,0,0.76
21674,Dapagliflozin,CID906351,DB18902,Docusate,CID460900,DB57443,357,Moderate,No,0.23,1,0.28,2,0.2
21675,Epinephrine,CID954050,DB56577,Triamcinolone,CID813872,DB52015,23,Safe,Yes,0.9,0,0.96,1,0.22
21676,Carvedilol,CID753655,DB39913,Benzonatate,CID46082,DB37647,409,Moderate,No,0.63,0,0.68,9,0.64
21677,Betamethasone,CID603499,DB25296,Lactobacillus Acidophilus,CID665573,DB82389,34,Safe,Yes,0.19,0,0.87,2,0.27
21678,Fluticasone; Salmeterol,CID422825,DB15322,Guaifenesin,CID835568,DB97521,800,High,No,0.84,1,0.59,10,0.56
21679,Meclizine,CID817681,DB45681,Lovastatin,CID862139,DB91464,91,Low,No,0.26,0,0.97,9,0.75
21680,Morphine,CID969784,DB16485,Progesterone,CID257645,DB91724,45,Safe,Yes,0.38,0,0.58,5,0.15
21681,Nortriptyline,CID454857,DB40087,Nebivolol,CID579500,DB35791,382,Moderate,No,0.71,0,0.48,10,0.74
21682,Dutasteride,CID709275,DB20187,Anastrozole,CID544846,DB96800,470,Moderate,No,0.59,1,0.8,0,0.34
21683,Clonidine,CID411571,DB59836,Benazepril,CID205152,DB67108,18,Safe,Yes,0.34,0,0.98,5,0.2
21684,Pramipexole,CID976139,DB30512,Solifenacin,CID631768,DB42964,141,Low,No,0.06,1,0.41,5,0.11
21685,Codeine; Guaifenesin,CID560936,DB21515,Ipratropium,CID233743,DB30455,785,High,No,0.34,0,0.89,10,0.61
21686,Risperidone,CID907342,DB81277,Anastrozole,CID634657,DB96433,498,Moderate,No,0.03,1,0.38,1,0.7
21687,Bisoprolol,CID327196,DB43261,Calcium,CID339352,DB84842,708,High,No,0.81,0,1,1,0.88
21688,Methocarbamol,CID781004,DB72653,Escitalopram,CID883777,DB97704,392,Moderate,No,0.67,0,0.89,0,0.25
21689,Cyclobenzaprine,CID195398,DB51383,Valacyclovir,CID157616,DB75375,128,Low,No,0.29,1,0.27,2,0.43
21690,Rosuvastatin,CID497013,DB42001,Polyethylene Glycol 3350,CID935588,DB53105,401,Moderate,No,0.94,1,0.92,1,0.68
21691,Acetaminophen; Butalbital; Caffeine,CID961146,DB11586,Empagliflozin,CID242096,DB71674,410,Moderate,No,0.01,0,0.98,0,0.25
21692,Lisinopril,CID291035,DB51471,Hydrocortisone,CID669539,DB55902,143,Low,No,0.97,1,0.41,8,0.76
21693,Brompheniramine; Dextromethorphan; Pseudoephedrine,CID167970,DB44855,Ketorolac,CID483678,DB48311,683,High,No,0.49,0,0.55,9,0.64
21694,Pseudoephedrine,CID266797,DB67705,Linaclotide,CID71445,DB61261,616,High,No,0.49,1,0.14,10,0.25
21695,Phentermine,CID199574,DB55174,Buspirone,CID705176,DB49694,235,Moderate,No,0.75,1,0.41,10,0.55
21696,Sitagliptin,CID111976,DB41873,Pseudoephedrine,CID825249,DB32218,568,High,No,0.53,1,0.19,10,0.77
21697,Amlodipine; Benazepril,CID515390,DB28785,Cyclobenzaprine,CID457710,DB22149,691,High,No,0.57,1,0.61,8,0.61
21698,Aripiprazole,CID657350,DB80188,Ondansetron,CID813586,DB90936,606,High,No,0.69,0,0.46,8,0.81
21699,Bisoprolol,CID993188,DB28475,Senna; Docusate,CID976646,DB73112,328,Moderate,No,0.66,0,0.32,8,0.92
21700,Rizatriptan,CID139026,DB59077,Thyroid,CID533510,DB10916,107,Low,No,0.04,0,0.99,2,0.56
21701,Isosorbide,CID96613,DB31007,Acetaminophen; Codeine,CID323054,DB34165,362,Moderate,No,0.31,1,0.05,3,0.38
21702,Loratadine; Pseudoephedrine,CID69155,DB76813,Allopurinol,CID492676,DB31512,511,High,No,0.19,0,0.14,6,0.66
21703,Valsartan,CID368679,DB42168,Citalopram,CID26818,DB23280,583,High,No,0.2,1,0.02,6,0.69
21704,Methocarbamol,CID668589,DB66545,Benzonatate,CID197978,DB26191,740,High,No,0.78,1,0.15,2,0.98
21705,Labetalol,CID759135,DB45475,Pramipexole,CID601234,DB76526,352,Moderate,No,0.57,0,0.09,10,0.2
21706,Bumetanide,CID581583,DB29059,Fluticasone; Umeclidinium; Vilanterol,CID492676,DB91609,752,High,No,0.4,1,0.31,2,0.54
21707,Labetalol,CID650319,DB37114,Aspirin,CID271595,DB79553,295,Moderate,No,0.73,0,0.13,9,0.97
21708,Rizatriptan,CID553218,DB53001,Hydroxyzine,CID866757,DB80771,26,Safe,Yes,0.39,0,0.48,5,0.04
21709,Levothyroxine,CID746332,DB11798,Pravastatin,CID187289,DB53580,210,Moderate,No,0.16,1,0.27,1,0.99
21710,Levothyroxine,CID215367,DB72600,Loratadine,CID101950,DB62287,397,Moderate,No,0.26,0,0.79,10,0.48
21711,Amiodarone,CID350149,DB78329,Olmesartan,CID601670,DB25731,322,Moderate,No,0.6,1,0.51,4,0.59
21712,Propranolol,CID672053,DB78545,Cetirizine,CID815206,DB61761,395,Moderate,No,0.43,1,0.63,0,0.43
21713,Hydroquinone,CID243284,DB86869,Tamsulosin,CID901724,DB37849,418,Moderate,No,0.97,0,0.98,0,0.36
21714,Nebivolol,CID568748,DB20204,Ethinyl Estradiol; Norgestimate,CID329682,DB50139,747,High,No,0.08,0,0.45,10,0.99
21715,Drospirenone; Ethinyl Estradiol,CID186317,DB74672,Sertraline,CID642117,DB20216,294,Moderate,No,0.89,1,0.43,5,0.42
21716,Tramadol,CID782314,DB55415,Polyethylene Glycol 3350,CID86657,DB71678,348,Moderate,No,0.47,1,0.52,3,0.91
21717,Magnesium Salts,CID810239,DB80905,Spironolactone,CID608765,DB26229,426,Moderate,No,0.7,1,0.27,10,0.79
21718,Acetaminophen,CID348601,DB38180,Ethinyl Estradiol; Norethindrone,CID727208,DB67294,41,Safe,Yes,0.97,0,0.1,9,0.79
21719,Progesterone,CID629241,DB15974,Brimonidine,CID770017,DB34227,608,High,No,0.32,1,0.25,9,0.88
21720,Diazepam,CID937042,DB68990,Norethindrone,CID190269,DB57239,751,High,No,0.84,1,0.06,2,0.46
21721,Metoprolol,CID969328,DB84070,Ketorolac,CID569417,DB30252,433,Moderate,No,0.65,1,0.11,8,0.63
21722,Gabapentin,CID921192,DB52357,Moxifloxacin,CID734072,DB23937,179,Low,No,0.31,1,0.51,0,0.04
21723,Cholecalciferol,CID737881,DB17571,Polyethylene Glycol 3350,CID535612,DB50387,389,Moderate,No,0.83,1,0.28,4,0.98
21724,Ofloxacin,CID622027,DB60869,Dicyclomine,CID315995,DB75220,40,Safe,Yes,0.84,0,0.02,5,0.54
21725,Trazodone,CID364538,DB37150,Diclofenac,CID95161,DB84104,634,High,No,0.68,0,0.3,10,0.36
21726,Omega-3-acid Ethyl Esters,CID585669,DB86386,Risperidone,CID681487,DB79187,792,High,No,0.67,0,0.33,5,0.11
21727,Acetaminophen; Oxycodone,CID153669,DB12266,Sucralfate,CID838438,DB31307,226,Moderate,No,0.74,1,0.7,1,0.78
21728,Ethinyl Estradiol; Norgestrel,CID640466,DB54598,Cyanocobalamin,CID683103,DB62168,43,Safe,Yes,0.69,0,0.88,4,0.74
21729,Azelastine,CID480273,DB37535,Dextroamphetamine,CID77577,DB28645,556,High,No,0.11,1,0.13,6,0.68
21730,Alprazolam,CID2926,DB84404,Ergocalciferol,CID932442,DB74436,244,Moderate,No,0.79,1,0.41,10,0.08
21731,Zolpidem,CID818569,DB69873,Fexofenadine,CID108581,DB71680,295,Moderate,No,0.5,0,0.46,0,0.38
21732,Dexamethasone; Neomycin; Polymyxin B,CID46810,DB47783,Esomeprazole,CID713142,DB68369,617,High,No,0.07,1,0.5,1,0.12
21733,Colchicine,CID547712,DB45032,Dorzolamide; Timolol,CID84592,DB12493,579,High,No,0.45,0,0.76,10,0.45
21734,Solifenacin,CID509486,DB55875,Budesonide; Formoterol,CID784803,DB20062,501,High,No,0.22,1,0.89,7,0.16
21735,Magnesium Salts,CID771155,DB90430,Isosorbide,CID757871,DB16525,686,High,No,0.56,0,0.24,6,0.78
21736,Chlorthalidone,CID512180,DB40170,Ofloxacin,CID758718,DB46261,296,Moderate,No,0.31,1,0.53,9,0.1
21737,Glipizide,CID388155,DB64474,Polymyxin B; Trimethoprim,CID322697,DB49343,563,High,No,0.46,0,0.24,4,0.05
21738,Labetalol,CID11614,DB68946,Ezetimibe,CID514145,DB60285,446,Moderate,No,0.95,1,0.87,6,0.4
21739,Nirmatrelvir; Ritonavir,CID916107,DB90851,Cyanocobalamin,CID370880,DB30814,58,Low,No,0.38,0,0.66,9,0.13
21740,Hydrochlorothiazide; Lisinopril,CID646827,DB25336,Terazosin,CID364403,DB68254,230,Moderate,No,0.77,1,0.05,10,0.58
21741,Insulin Human; Insulin Isophane Human,CID187688,DB94228,Cefuroxime,CID555253,DB10899,97,Low,No,0.02,0,0.19,6,0.89
21742,Prednisone,CID355566,DB87521,Mirabegron,CID325610,DB62721,82,Low,No,0.74,0,0.03,4,0.49
21743,Methylprednisolone,CID19730,DB46478,Methocarbamol,CID295292,DB21596,294,Moderate,No,0.39,1,0.17,10,0.05
21744,Topiramate,CID137063,DB76521,Hydrochlorothiazide; Triamterene,CID20358,DB98714,664,High,No,0.29,0,0.57,5,0.64
21745,Simvastatin,CID569097,DB56712,Aripiprazole,CID621664,DB91106,683,High,No,0.33,0,0.62,6,0.79
21746,Indomethacin,CID294923,DB67050,Verapamil,CID382612,DB46070,233,Moderate,No,0.44,1,0.58,1,0.31
21747,Phenazopyridine,CID603304,DB26912,Loratadine; Pseudoephedrine,CID421987,DB80357,600,High,No,0.23,1,0.98,3,0.34
21748,Ibuprofen,CID839787,DB36889,Olmesartan,CID403516,DB59110,700,High,No,0.25,1,0.98,0,0.04
21749,Lisinopril,CID27026,DB73611,Bumetanide,CID699945,DB55330,127,Low,No,0.06,1,0.08,0,0.61
21750,Albuterol; Ipratropium,CID153546,DB70835,Atorvastatin,CID223363,DB65406,722,High,No,0.97,0,0.58,3,0.63
21751,Levetiracetam,CID870853,DB73749,Ramipril,CID33193,DB84088,722,High,No,0.84,0,0.93,4,0.31
21752,Betamethasone,CID247658,DB44482,Memantine,CID263366,DB94165,45,Safe,Yes,0.45,1,0.52,9,0.12
21753,Citalopram,CID515129,DB20507,Ciprofloxacin; Dexamethasone,CID3052,DB28532,500,Moderate,No,0.61,0,0.68,0,0.92
21754,Lovastatin,CID690997,DB95443,Polyethylene Glycol 3350,CID666727,DB74211,380,Moderate,No,0.73,0,0.81,8,0.75
21755,Tobramycin,CID759462,DB80794,Acetaminophen,CID352164,DB53717,449,Moderate,No,0.22,0,0.47,6,0.25
21756,Finasteride,CID471234,DB49777,Rimegepant,CID768247,DB77106,679,High,No,0.37,1,0.42,6,0.12
21757,Semaglutide,CID673904,DB86274,Medroxyprogesterone,CID441299,DB95764,699,High,No,0.42,0,0.36,7,0.05
21758,Atropine; Diphenoxylate,CID170325,DB25589,Cyclobenzaprine,CID181842,DB67546,193,Low,No,0.55,0,0.74,7,0.5
21759,Lamotrigine,CID684042,DB35268,Dutasteride,CID455653,DB53043,247,Moderate,No,0.47,1,0.25,9,0.3
21760,Ofloxacin,CID609798,DB86334,Evolocumab,CID776821,DB10189,734,High,No,0.48,1,0.61,1,0.81
21761,Calcitriol,CID441643,DB93793,Dapagliflozin,CID71541,DB57130,68,Low,No,0.08,1,0.63,0,0.58
21762,Celecoxib,CID271942,DB86573,Pregabalin,CID972615,DB22762,451,Moderate,No,0.84,1,0.24,6,0.3
21763,Semaglutide,CID651431,DB42296,Testosterone,CID25886,DB46367,362,Moderate,No,0.77,0,0.9,3,0.19
21764,Polyethylene Glycol 3350 With Electrolytes,CID895445,DB99684,Fenofibrate,CID55777,DB14495,302,Moderate,No,0.93,1,0.77,6,0.77
21765,Nirmatrelvir; Ritonavir,CID358992,DB85836,Linagliptin,CID517253,DB64386,727,High,No,0.58,1,0.21,6,0.56
21766,Pregabalin,CID221052,DB89409,Naproxen,CID789444,DB75419,566,High,No,0.51,0,0.01,0,0.86
21767,Losartan,CID661652,DB93828,Anastrozole,CID771826,DB40647,595,High,No,0.9,0,0.83,2,0.77
21768,Cephalexin,CID19956,DB65621,Alendronate,CID423212,DB90504,414,Moderate,No,0.99,1,0.16,1,0.83
21769,Tirzepatide,CID108786,DB24895,Liothyronine,CID83744,DB93672,580,High,No,0.9,1,0.92,9,0.19
21770,Cetirizine,CID428598,DB85691,Ciprofloxacin,CID944319,DB13428,607,High,No,0.21,1,0.55,10,0.36
21771,Omega-3-acid Ethyl Esters,CID674440,DB86937,Empagliflozin,CID405188,DB36173,692,High,No,0.25,1,0.21,6,0.7
21772,Bimatoprost,CID201193,DB45073,Phentermine,CID54424,DB52984,680,High,No,0.23,0,0.44,1,0.82
21773,Tirzepatide,CID332538,DB48545,Guaifenesin,CID31282,DB74596,570,High,No,0.33,0,0.72,1,0.41
21774,Sitagliptin,CID54479,DB90791,Dutasteride,CID3473,DB23376,620,High,No,0.35,0,0.54,5,0.32
21775,Prednisone,CID360259,DB40724,Amoxicillin,CID729018,DB91127,600,High,No,0.1,1,0.32,6,0.82
21776,Erythromycin,CID620646,DB81022,Zolpidem,CID733137,DB76251,289,Moderate,No,0.02,0,0.94,2,0.03
21777,Tramadol,CID861068,DB10163,Ethinyl Estradiol; Levonorgestrel,CID415982,DB23609,363,Moderate,No,0.43,0,0.25,7,0.34
21778,Drospirenone; Ethinyl Estradiol,CID136083,DB46724,Insulin Detemir,CID497422,DB47863,31,Safe,Yes,0.62,1,0.38,3,0.06
21779,Calcium Phosphate; Cholecalciferol,CID453721,DB70439,Sodium Salts,CID926210,DB35639,475,Moderate,No,0.4,1,0.29,1,0.78
21780,Aspirin,CID174388,DB48997,Bumetanide,CID548542,DB64995,485,Moderate,No,0.14,1,0.64,2,0.45
21781,Anastrozole,CID333850,DB36507,Linagliptin,CID579893,DB27581,548,High,No,0.01,0,0.61,9,0.9
21782,Labetalol,CID412900,DB36078,Hydrochlorothiazide; Triamterene,CID810389,DB67471,638,High,No,0.24,1,0.93,6,0.15
21783,Trazodone,CID361591,DB16276,Valacyclovir,CID382185,DB67872,737,High,No,0.56,1,0.19,6,0.04
21784,Topiramate,CID138065,DB19985,Dicyclomine,CID800673,DB62691,124,Low,No,0.56,1,0.25,8,0.74
21785,Fluticasone; Vilanterol,CID68785,DB12060,Nebivolol,CID580032,DB74114,69,Low,No,0.04,0,0.85,10,0.47
21786,Melatonin,CID948452,DB36974,Lactobacillus Acidophilus,CID598566,DB52935,137,Low,No,0.47,0,0.15,6,0.99
21787,Methylprednisolone,CID96501,DB86443,Lactobacillus Acidophilus,CID739848,DB19380,108,Low,No,0.61,0,0.37,1,0.81
21788,Cyclobenzaprine,CID217913,DB86996,Methotrexate,CID558811,DB73969,230,Moderate,No,0.74,0,0.37,5,0.09
21789,Sitagliptin,CID687081,DB66416,Metronidazole,CID775312,DB12813,342,Moderate,No,0.2,0,0.68,10,0.39
21790,Cephalexin,CID992236,DB52691,Atomoxetine,CID168656,DB52283,712,High,No,0.18,1,0.08,7,0.06
21791,Torsemide,CID114776,DB68883,Paroxetine,CID261842,DB38023,603,High,No,0.77,1,0.57,9,0.19
21792,Ivermectin,CID461701,DB64733,Metformin,CID690487,DB75377,773,High,No,0.07,0,0.3,4,0.84
21793,Timolol,CID829755,DB16730,Desogestrel; Ethinyl Estradiol,CID865044,DB68321,461,Moderate,No,0.12,1,0.11,0,0.68
21794,Betamethasone; Clotrimazole,CID615750,DB37291,Dorzolamide; Timolol,CID760785,DB32991,442,Moderate,No,0.87,0,0.32,0,0.32
21795,Amitriptyline,CID522844,DB49552,Tramadol,CID531243,DB46670,733,High,No,0.49,1,0.26,4,0.7
21796,Memantine,CID268140,DB65458,Terbinafine,CID78156,DB78785,682,High,No,0.56,0,0.85,6,0.86
21797,Phentermine,CID223000,DB77023,Lactobacillus Acidophilus,CID889931,DB15350,286,Moderate,No,0.83,0,0.49,2,0.55
21798,Sertraline,CID589663,DB75968,Aspirin,CID538701,DB93304,601,High,No,0.59,1,0.13,6,0.51
21799,Testosterone,CID641985,DB36762,Nortriptyline,CID163540,DB77593,674,High,No,0.55,0,0.44,0,0.47
21800,Oseltamivir,CID905452,DB24724,Estradiol,CID57888,DB85988,392,Moderate,No,0.78,0,0.82,8,0.03
21801,Hydrocortisone,CID948035,DB30166,Nirmatrelvir; Ritonavir,CID374315,DB60686,129,Low,No,0.83,0,0.72,10,0.06
21802,Valproate,CID140834,DB31981,Desogestrel; Ethinyl Estradiol,CID274037,DB67571,191,Low,No,0.54,0,0.13,7,0.11
21803,Ofloxacin,CID970208,DB46441,Loratadine; Pseudoephedrine,CID329661,DB60357,518,High,No,0.58,1,0.28,6,0.67
